dates,reachpermillion
2017-09-12,2140
2017-09-13,2140
2017-09-14,2090
2017-09-15,2230
2017-09-16,2360
2017-09-17,2340
2017-09-18,2040
2017-09-19,1890
2017-09-20,2030
2017-09-21,1820
2017-09-22,1980
2017-09-23,2310
2017-09-24,2230
2017-09-25,2050
2017-09-26,1990
2017-09-27,1950
2017-09-28,2110
2017-09-29,2700
2017-09-30,2580
2017-10-01,2450
2017-10-02,2170
2017-10-03,2200
2017-10-04,2220
2017-10-05,2160
2017-10-06,2190
2017-10-07,2370
2017-10-08,2600
2017-10-09,2340
2017-10-10,2040
2017-10-11,2000
2017-10-12,2170
2017-10-13,2070
2017-10-14,2220
2017-10-15,2260
2017-10-16,2160
2017-10-17,2090
2017-10-18,2170
2017-10-19,2120
2017-10-20,2100
2017-10-21,2260
2017-10-22,2370
2017-10-23,2340
2017-10-24,2110
2017-10-25,2100
2017-10-26,2210
2017-10-27,2340
2017-10-28,2230
2017-10-29,2450
2017-10-30,2090
2017-10-31,1930
2017-11-01,1940
2017-11-02,2060
2017-11-03,2470
2017-11-04,2530
2017-11-05,2710
2017-11-06,2480
2017-11-07,2440
2017-11-08,3500
2017-11-09,3420
2017-11-10,3360
2017-11-11,3400
2017-11-12,3400
2017-11-13,2910
2017-11-14,2740
2017-11-15,2850
2017-11-16,3040
2017-11-17,2970
2017-11-18,3360
2017-11-19,4140
2017-11-20,4190
2017-11-21,4620
2017-11-22,5090
2017-11-23,9000
2017-11-24,11900
2017-11-25,7170
2017-11-26,5810
2017-11-27,7960
2017-11-28,4990
2017-11-29,3150
2017-11-30,2960
2017-12-01,2950
2017-12-02,3110
2017-12-03,3390
2017-12-04,3070
2017-12-05,2950
2017-12-06,2670
2017-12-07,2870
2017-12-08,2830
2017-12-09,3100
2017-12-10,3200
2017-12-11,3010
2017-12-12,2850
2017-12-13,2750
2017-12-14,2890
2017-12-15,2870
2017-12-16,3170
2017-12-17,3470
2017-12-18,3150
2017-12-19,3140
2017-12-20,3080
2017-12-21,3230
2017-12-22,3160
2017-12-23,3220
2017-12-24,2990
2017-12-25,3210
2017-12-26,3880
2017-12-27,3250
2017-12-28,3210
2017-12-29,2990
2017-12-30,2890
2017-12-31,2630
2018-01-01,2480
2018-01-02,2810
2018-01-03,2540
2018-01-04,2340
2018-01-05,2310
2018-01-06,2380
2018-01-07,2640
2018-01-08,2280
2018-01-09,2170
2018-01-10,2170
2018-01-11,2090
2018-01-12,2290
2018-01-13,2490
2018-01-14,2410
2018-01-15,2410
2018-01-16,2120
2018-01-17,2040
2018-01-18,2150
2018-01-19,2110
2018-01-20,2290
2018-01-21,2400
2018-01-22,2070
2018-01-23,2050
2018-01-24,2010
2018-01-25,2130
2018-01-26,2220
2018-01-27,2290
2018-01-28,2320
2018-01-29,2080
2018-01-30,2010
2018-01-31,1870
2018-02-01,1990
2018-02-02,2080
2018-02-03,2330
2018-02-04,2340
2018-02-05,1960
2018-02-06,1930
2018-02-07,1870
2018-02-08,1900
2018-02-09,2050
2018-02-10,2110
2018-02-11,1960
2018-02-12,2110
2018-02-13,1920
2018-02-14,1790
2018-02-15,2020
2018-02-16,2100
2018-02-17,2300
2018-02-18,2540
2018-02-19,2250
2018-02-20,2010
2018-02-21,1980
2018-02-22,1920
2018-02-23,1910
2018-02-24,2110
2018-02-25,2340
2018-02-26,1960
2018-02-27,1950
2018-02-28,1880
2018-03-01,1920
2018-03-02,2020
2018-03-03,2170
2018-03-04,2250
2018-03-05,1950
2018-03-06,1840
2018-03-07,1680
2018-03-08,1830
2018-03-09,1830
2018-03-10,2110
2018-03-11,2160
2018-03-12,1850
2018-03-13,1890
2018-03-14,1800
2018-03-15,1760
2018-03-16,1770
2018-03-17,2010
2018-03-18,2200
2018-03-19,1920
2018-03-20,1770
2018-03-21,1920
2018-03-22,1860
2018-03-23,1920
2018-03-24,2030
2018-03-25,2210
2018-03-26,1940
2018-03-27,2000
2018-03-28,2140
2018-03-29,1900
2018-03-30,2040
2018-03-31,2110
2018-04-01,2160
2018-04-02,2040
2018-04-03,1980
2018-04-04,1860
2018-04-05,1770
2018-04-06,1800
2018-04-07,2060
2018-04-08,2070
2018-04-09,1890
2018-04-10,1810
2018-04-11,1700
2018-04-12,1890
2018-04-13,1780
2018-04-14,1850
2018-04-15,2000
2018-04-16,1810
2018-04-17,1740
2018-04-18,1840
2018-04-19,1740
2018-04-20,1770
2018-04-21,1830
2018-04-22,2030
2018-04-23,1820
2018-04-24,1750
2018-04-25,1780
2018-04-26,1660
2018-04-27,1740
2018-04-28,1950
2018-04-29,2000
2018-04-30,2010
2018-05-01,1980
2018-05-02,1790
2018-05-03,1700
2018-05-04,1820
2018-05-05,1970
2018-05-06,2020
2018-05-07,1910
2018-05-08,1780
2018-05-09,1790
2018-05-10,1880
2018-05-11,1830
2018-05-12,2140
2018-05-13,2120
2018-05-14,1850
2018-05-15,1850
2018-05-16,1960
2018-05-17,1930
2018-05-18,1830
2018-05-19,2000
2018-05-20,2250
2018-05-21,2000
2018-05-22,1920
2018-05-23,1910
2018-05-24,1880
2018-05-25,2070
2018-05-26,2280
2018-05-27,2530
2018-05-28,2400
2018-05-29,2040
2018-05-30,1940
2018-05-31,1820
2018-06-01,1740
2018-06-02,1930
2018-06-03,2130
2018-06-04,1970
2018-06-05,1940
2018-06-06,1810
2018-06-07,1810
2018-06-08,1980
2018-06-09,2060
2018-06-10,2080
2018-06-11,2200
2018-06-12,2170
2018-06-13,2100
2018-06-14,2050
2018-06-15,2000
2018-06-16,2130
2018-06-17,2250
2018-06-18,2120
2018-06-19,2090
2018-06-20,1900
2018-06-21,1870
2018-06-22,1930
2018-06-23,2010
2018-06-24,2120
2018-06-25,2120
2018-06-26,1950
2018-06-27,1940
2018-06-28,1960
2018-06-29,2310
2018-06-30,2430
2018-07-01,2590
2018-07-02,2340
2018-07-03,2270
2018-07-04,2400
2018-07-05,2190
2018-07-06,2070
2018-07-07,2200
2018-07-08,2320
2018-07-09,2120
2018-07-10,2010
2018-07-11,1910
2018-07-12,2150
2018-07-13,2160
2018-07-14,2180
2018-07-15,2320
2018-07-16,2880
2018-07-17,2840
2018-07-18,2320
2018-07-19,2140
2018-07-20,2130
2018-07-21,2360
2018-07-22,2280
2018-07-23,2220
2018-07-24,2230
2018-07-25,2060
2018-07-26,2410
2018-07-27,2580
2018-07-28,2580
2018-07-29,2600
2018-07-30,2280
2018-07-31,2280
2018-08-01,2080
2018-08-02,2040
2018-08-03,2150
2018-08-04,2310
2018-08-05,2290
2018-08-06,2220
2018-08-07,2200
2018-08-08,2240
2018-08-09,2190
2018-08-10,2080
2018-08-11,2170
2018-08-12,2390
2018-08-13,2360
2018-08-14,2300
2018-08-15,2100
2018-08-16,2140
2018-08-17,2260
2018-08-18,2520
2018-08-19,2410
2018-08-20,2250
2018-08-21,2130
2018-08-22,2150
2018-08-23,2010
2018-08-24,2300
2018-08-25,2250
2018-08-26,2380
2018-08-27,2220
2018-08-28,2200
2018-08-29,2110
2018-08-30,2070
2018-08-31,2360
2018-09-01,2530
2018-09-02,2790
2018-09-03,2610
2018-09-04,2130
2018-09-05,1970
2018-09-06,2130
2018-09-07,1980
2018-09-08,2200
2018-09-09,2210
2018-09-10,1950
2018-09-11,1910
2018-09-12,1850
